Date,nifty_close,midcap_close,vix_close,repo_rate,mf_cash_pct
,^NSEI,NIFTY_MIDCAP_100.NS,,,
2020-04-13,8993.849609375,12375.7001953125,51.4575,4.4,2.776
2020-04-15,8925.2998046875,12533.5,49.735,4.4,2.776
2020-04-16,8992.7998046875,12760.349609375,46.095,4.4,2.776
2020-04-17,9266.75,13046.7998046875,42.5925,4.4,2.776
2020-04-20,9261.849609375,13113.650390625,43.455,4.4,2.776
2020-04-21,8981.4501953125,12708.7001953125,45.1975,4.4,2.776
2020-04-22,9187.2998046875,12803.599609375,42.8225,4.4,2.776
2020-04-23,9313.900390625,12964.650390625,39.23,4.4,2.776
2020-04-24,9154.400390625,12695.7001953125,39.1175,4.4,2.776
2020-04-27,9282.2998046875,12893.7001953125,38.0425,4.4,2.776
2020-04-28,9380.900390625,13061.0,35.355,4.4,2.776
2020-04-29,9553.349609375,13227.5498046875,33.8375,4.4,2.776
2020-04-30,9859.900390625,13502.0,33.9875,4.4,2.776
2020-05-04,9293.5,12908.400390625,43.67,4.4,2.776
2020-05-05,9205.599609375,12817.400390625,43.6075,4.4,2.776
2020-05-06,9270.900390625,12899.650390625,41.2475,4.4,2.776
2020-05-07,9199.0498046875,12831.0,39.93,4.4,2.776
2020-05-08,9251.5,12788.9501953125,38.4075,4.4,2.776
2020-05-11,9239.2001953125,12863.400390625,38.0375,4.4,2.776
2020-05-12,9196.5498046875,12771.2998046875,38.205,4.4,2.776
2020-05-13,9383.5498046875,13064.0,38.835,4.4,2.776
2020-05-14,9142.75,13018.2001953125,38.1825,4.4,2.776
2020-05-15,9136.849609375,12992.0498046875,38.0175,4.4,2.776
2020-05-18,8823.25,12409.349609375,40.915,4.4,2.776
2020-05-19,8879.099609375,12471.150390625,39.4525,4.4,2.776
2020-05-20,9066.5498046875,12664.2001953125,35.81,4.4,2.776
2020-05-21,9106.25,12762.650390625,32.985,4.4,2.776
2020-05-22,9039.25,12668.0498046875,32.3775,4.0,2.776
2020-05-26,9029.0498046875,12835.650390625,31.47,4.0,2.776
2020-05-27,9314.9501953125,12911.25,31.2725,4.0,2.776
2020-05-28,9490.099609375,13129.9501953125,30.0175,4.0,2.776
2020-05-29,9580.2998046875,13273.0,30.22,4.0,2.776
2020-06-01,9826.150390625,13684.650390625,30.7425,4.0,2.776
2020-06-02,9979.099609375,13870.400390625,30.115,4.0,2.776
2020-06-03,10061.5498046875,13924.2998046875,30.0425,4.0,2.776
2020-06-04,10029.099609375,13912.7998046875,29.69,4.0,2.776
2020-06-05,10142.150390625,14158.0498046875,28.68,4.0,2.776
2020-06-08,10167.4501953125,14222.650390625,29.6475,4.0,2.776
2020-06-09,10046.650390625,14168.650390625,30.205,4.0,2.776
2020-06-10,10116.150390625,14342.0,29.4375,4.0,2.776
2020-06-11,9902.0,14157.7998046875,29.66,4.0,2.776
2020-06-12,9972.900390625,14339.349609375,30.8225,4.0,2.776
2020-06-15,9813.7001953125,14168.5498046875,32.5775,4.0,2.776
2020-06-16,9914.0,14230.599609375,32.965,4.0,2.776
2020-06-17,9881.150390625,14246.7998046875,33.355,4.0,2.776
2020-06-18,10091.650390625,14427.5498046875,31.455,4.0,2.776
2020-06-19,10244.400390625,14565.849609375,29.965,4.0,2.776
2020-06-22,10311.2001953125,14797.349609375,30.46,4.0,2.776
2020-06-23,10471.0,15022.4501953125,29.34,4.0,2.776
2020-06-24,10305.2998046875,14809.9501953125,29.5775,4.0,2.776
2020-06-25,10288.900390625,14941.400390625,29.7275,4.0,2.776
2020-06-26,10383.0,14975.25,28.735,4.0,2.776
2020-06-29,10312.400390625,14735.2001953125,28.91,4.0,2.776
2020-06-30,10302.099609375,14704.0,29.1175,4.0,2.776
2020-07-01,10430.0498046875,14777.7001953125,28.1175,4.0,2.776
2020-07-02,10551.7001953125,14944.75,26.5075,4.0,2.776
2020-07-03,10607.349609375,15042.650390625,25.7675,4.0,2.776
2020-07-06,10763.650390625,15297.150390625,25.1975,4.0,2.776
2020-07-07,10799.650390625,15364.099609375,25.1025,4.0,2.776
2020-07-08,10705.75,15304.4501953125,26.1,4.0,2.776
2020-07-09,10813.4501953125,15362.4501953125,24.9125,4.0,2.776
2020-07-10,10768.0498046875,15253.599609375,24.9425,4.0,2.776
2020-07-13,10802.7001953125,15217.150390625,25.2525,4.0,2.776
2020-07-14,10607.349609375,15052.349609375,26.6375,4.0,2.776
2020-07-15,10618.2001953125,14951.9501953125,26.29,4.0,2.776
2020-07-16,10739.9501953125,15033.75,25.3625,4.0,2.776
2020-07-17,10901.7001953125,15242.2998046875,24.1575,4.0,2.776
2020-07-20,11022.2001953125,15388.5498046875,24.7125,4.0,2.776
2020-07-21,11162.25,15402.349609375,24.4275,4.0,2.776
2020-07-22,11132.599609375,15423.25,24.885,4.0,2.776
2020-07-23,11215.4501953125,15571.599609375,24.64,4.0,2.776
2020-07-24,11194.150390625,15528.5498046875,24.535,4.0,2.776
2020-07-27,11131.7998046875,15323.7998046875,25.0175,4.0,2.776
2020-07-28,11300.5498046875,15460.099609375,23.6425,4.0,2.776
2020-07-29,11202.849609375,15535.0498046875,24.1125,4.0,2.776
2020-07-30,11102.150390625,15405.7001953125,24.7275,4.0,2.776
2020-07-31,11073.4501953125,15471.2998046875,24.1925,4.0,2.776
2020-08-03,10891.599609375,15468.7001953125,25.185,4.0,2.776
2020-08-04,11095.25,15640.400390625,23.815,4.0,2.776
